County,Population 2019,Population 2010,Population percent change,Population Census 2010,Under 5 years,Under 18 years,65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,"White alone, not Hispanic or Latino",Veterans,Foreign born persons,Housing units,Owner occupied housing unit rate,Median value of owner occupied housing units,Median selected monthly owner costs with a mortgage,Median selected monthly owner costs without a mortgage,Median gross rent,Building permits,Households,Persons per household,Living in same house 1 year ago,Language other than English spoken at home,"Households with a computer, percent",Households with a broadband Internet subscription,High school graduate or higher,Bachelor degree or higher,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total","In civilian labor force, female",Total accommodation and food services sales,Total health care and social assistance receipts or revenue,Total manufacturers shipments,Total merchant wholesaler sales,Total retail sales,Total retail sales per capita,Mean travel time to work minutes,Median household income in 2019 dollars,Per capita income in past 12 months in 2019 dollars,Persons in poverty,Total employer establishments,Total employment,Total annual payroll,"Total employment, percent change",Total nonemployer establishments,All firms,Men owned firms,Women owned firms,Minority owned firms,Nonminority owned firms,Veteran owned firms,Nonveteran owned firms,Population per square mile,Land area in square miles,FIPS Code,totalcountconfirmed
Alameda,"1,671,329","1,510,258",0.1070,"1,510,271",0.0570,0.2030,0.1430,0.5070,0.4930,0.1100,0.0110,0.3230,0.0090,0.0540,0.2230,0.3060,"48,602",0.3250,"622,922",0.5350,769300,2931,690,1797,"6,402","577,177",2.82,0.8720,0.4560,0.9430,0.8890,0.8840,0.4740,0.0560,0.0500,0.6700,0.6100,"3,192,420","12,949,087",D,"37,580,614","20,901,014",13444,34.3,99406,47314,0.0890,"40,508","698,915","51,985,434",0.0120,"150,445","150,564","76,387","57,305","75,026","69,300","10,213","134,032","2,043.60",739.02,"06001""""",41548
Alpine,"1,129","1,175",-0.0390,"1,175",0.0430,0.1770,0.2640,0.4610,0.6790,0.0040,0.2570,0.0160,X,0.0440,0.1230,0.6130,79,0.0510,"1,782",0.8400,365300,1875,515,538,5,350,2.87,0.9090,0.0970,0.9290,0.8260,0.9120,0.3450,0.1280,0.0700,0.4600,0.4160,D,D,X,X,576,510,18.1,63750,36739,0.1720,40,521,"8,855",-0.0970,105,125,F,49,F,115,F,116,1.6,738.33,"06003""""",64
Amador,"39,752","38,091",0.0440,"38,091",0.0410,0.1510,0.2750,0.4560,0.8960,0.0270,0.0230,0.0170,0.0030,0.0340,0.1450,0.7730,"3,810",0.0600,"18,625",0.7650,313700,1774,561,1103,119,"14,594",2.38,0.8770,0.1060,0.9080,0.8460,0.9000,0.1930,0.1260,0.0600,0.4410,0.4520,"242,022","147,701","139,631",D,"321,498",8681,32.7,62772,31987,0.0980,831,"8,205","322,707",0.0010,"2,835","2,807","1,383",921,259,"2,453",258,"2,363",64.1,594.58,"06005""""",1703
Butte,"219,186","220,005",-0.0040,"220,000",0.0550,0.2030,0.1840,0.5050,0.8570,0.0190,0.0250,0.0500,0.0030,0.0460,0.1720,0.7090,"14,209",0.0730,"86,209",0.5900,271700,1640,488,1060,"1,426","85,320",2.57,0.8120,0.1530,0.9250,0.8540,0.8920,0.2720,0.1260,0.0770,0.5630,0.5340,"350,474","1,434,454","1,341,089",D,"2,576,900",11632,20.9,52537,29506,0.1610,"4,770","63,965","2,592,281",0.0220,"13,121","16,240","8,370","5,341","1,858","13,644","1,766","13,509",134.4,"1,636.46","06007""""",5746
Calaveras,"45,905","45,578",0.0070,"45,578",0.0450,0.1710,0.2800,0.5020,0.9100,0.0110,0.0200,0.0190,0.0030,0.0390,0.1300,0.7990,"4,491",0.0480,"28,181",0.7780,319500,1891,565,1339,117,"16,942",2.66,0.8900,0.0720,0.8960,0.8230,0.9020,0.1830,0.1510,0.0740,0.4740,0.4510,"69,645","108,936",D,D,"252,345",5640,38.3,63158,33456,0.1210,912,"6,375","236,580",0.0150,"3,591","3,387","1,861","1,008",291,"2,983",392,"2,799",44.7,"1,020.01","06009""""",848
Colusa,"21,547","21,407",0.0070,"21,419",0.0690,0.2710,0.1490,0.4910,0.9110,0.0130,0.0280,0.0160,0.0060,0.0270,0.6040,0.3410,830,0.2700,"8,125",0.6100,265200,1590,458,889,37,"7,227",2.94,0.8780,0.5170,0.8680,0.8100,0.7130,0.1500,0.0890,0.1150,0.6230,0.5470,"97,807","41,246","474,519","428,726","127,885",5973,25.7,59401,26932,0.1200,378,"4,055","181,095",0.0450,"1,051","1,138",539,306,397,656,55,944,18.6,"1,150.73","06011""""",1053
Contra Costa,"1,153,526","1,049,204",0.0990,"1,049,025",0.0560,0.2240,0.1630,0.5110,0.6510,0.0950,0.0100,0.1830,0.0060,0.0540,0.2600,0.4270,"46,968",0.2540,"418,707",0.6590,625800,2745,725,1819,"2,687","394,769",2.87,0.8760,0.3580,0.9520,0.9170,0.8950,0.4240,0.0750,0.0590,0.6480,0.5880,"1,659,988","8,262,635","33,681,206","6,887,164","11,847,866",10974,38.7,99716,48178,0.0790,"24,286","340,960","23,960,119",0.0130,"100,779","93,083","47,721","34,296","35,831","53,403","7,291","81,940","1,465.20",715.94,"06013""""",33006
Del Norte,"27,812","28,610",-0.0280,"28,610",0.0520,0.2090,0.1840,0.4540,0.7810,0.0350,0.0970,0.0310,0.0020,0.0540,0.2010,0.6200,"2,048",0.0760,"11,434",0.6310,218800,1400,437,878,30,"9,945",2.47,0.8230,0.1210,0.8920,0.7970,0.8010,0.1480,0.1460,0.0730,0.4410,0.4720,"32,299","121,283","41,171",D,"192,759",6814,14.5,45283,23674,0.1790,401,"4,074","139,160",0.0060,"1,326","1,686",727,578,241,"1,367",257,"1,295",28.4,"1,006.37","06015""""",583
El Dorado,"192,843","181,058",0.0650,"181,058",0.0460,0.1980,0.2190,0.5010,0.8860,0.0100,0.0130,0.0480,0.0020,0.0390,0.1320,0.7720,"13,604",0.0920,"91,660",0.7570,460900,2281,655,1260,596,"70,974",2.63,0.8520,0.1220,0.9410,0.8720,0.9340,0.3430,0.0850,0.0570,0.5790,0.5320,"319,784","680,939","517,354","316,707","1,597,758",8849,30,83377,42749,0.0870,"4,602","46,655","2,300,251",0.0110,"17,441","16,711","8,514","5,445","2,340","13,840","1,659","14,367",106,"1,707.88","06017""""",4327
Fresno,"999,101","930,507",0.0740,"930,450",0.0760,0.2820,0.1260,0.5010,0.7660,0.0580,0.0300,0.1110,0.0030,0.0320,0.5380,0.2860,"36,125",0.2120,"336,473",0.5330,255000,1631,484,998,"3,393","307,906",3.14,0.8580,0.4460,0.8920,0.8020,0.7600,0.2120,0.0920,0.0880,0.6090,0.5520,"1,226,169","5,325,615","8,658,325","9,266,337","9,117,752",9619,23.1,53969,24422,0.2050,"17,118","270,631","11,841,989",0.0340,"55,668","59,569","30,341","22,727","30,912","26,343","4,556","51,988",156.2,"5,957.99","06019""""",49918
